id,hint,image_url,correct_pref,choice1,choice2,choice3,choice4,choice5,description
1,非常に有名な日本のシンボルです。山頂の雪と周りの自然が特徴です。,"unsplash.com",静岡県,北海道,東京都,静岡県,京都府,沖縄県,富士山（静岡県・山梨県）でした！
2,歴史的な建造物（お寺）です。建物全体が金箔で覆われています。,"unsplash.com",京都府,奈良県,京都府,石川県,広島県,東京都,金閣寺（京都府）でした！
3,青い海と白い砂漠のような景色、そして歩いている動物に注目してください。,"unsplash.com",鳥取県,千葉県,鳥取県,鹿児島県,沖縄県,香川県,鳥取砂丘でした！
4,日本最北端の大地です。広大な大自然と冬の雪景色が有名です。,"unsplash.com",北海道,北海道,青森県,岩手県,秋田県,新潟県,北海道の広大な雪景色でした！
5,透明度の高い透き通った海と、白い砂浜が広がる南国のリゾート地です。,"unsplash.com",沖縄県,鹿児島県,宮崎県,沖縄県,長崎県,高知県,沖縄県のエメラルドグリーンの海でした！
6,世界遺産にも登録されている、海の中に立つ巨大な赤い鳥居が有名です。,"unsplash.com",広島県,島根県,山口県,広島県,愛媛県,福岡県,厳島神社（広島県）でした！
7,夜になると、川沿いに並ぶ屋台の明かりが水面に映る、九州一の繁華街です。,"unsplash.com",福岡県,佐賀県,長崎県,熊本県,大分県,福岡県,中洲（福岡県）でした！
8,大都会の中心にそびえ立つ、赤と白の美しい電波塔（タワー）です。,"unsplash.com",東京都,神奈川県,埼玉県,千葉県,東京都,茨城県,東京タワーでした！
9,日本三大名城の一つ。美しくそびえ立つ天守閣と、春の桜が絶景です。,"unsplash.com",大阪府,京都府,兵庫県,奈良県,滋賀県,大阪府,大阪城でした！
10,歴史的な古い町並みが残り、秋には美しい紅葉が庭園を彩る古都です。,"unsplash.com",京都府,三重県,滋賀県,京都府,大阪府,奈良県,清水寺周辺（京都府）でした！
